State Name,pH,Conductivity,BOD (mg/L),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
GJ,7.9,1317.633333,1,1.105,2,2,1156,0.8
GJ,7.9,2188.3,1.1,0.3,2,2,1416,0.2
GJ,7.4,4237.466667,1,0.3,2,2,3534,0.2
GJ,7.9,1682.966667,1.05,0.315,2,2,1400,0.2
GJ,7.6,493.2,1,0.3,2,2,469,0.3
GJ,8.4,1674.8,1,0.555,2,2,1264,0.55
GJ,7.9,651.9666667,1,0.88,2,2,493,0.95
GJ,8.3,1204.1,1,0.455,2,2,1159,1.2
GJ,8.5,1835.833333,1,0.45,2,2,1466,1.35
GJ,7.7,2042.566667,1.55,0.305,2,2,2365,0.65
GJ,8.3,853.1,1,0.55,2,2,680,1.15
GJ,8.4,806.1333333,1,0.915,2,2,765,0.85
GJ,7.8,695.6,1,0.61,2,2,585,0.5
GJ,7.1,1082.7,1,0.305,2,2,803,0.25
GJ,7.4,683.4666667,1.3,1.145,2,2,754,0.2
GJ,8.1,2180.7,1,0.565,2,2,1533,0.6
GJ,8.4,1094.466667,1,1.28,2,2,1272,1.05
GJ,7.6,881.8666667,1,1.5,2,2,929,0.85
GJ,7.3,526.4333333,1.5,1.1,2,2,620,0.2
GJ,7.9,1131.633333,1,1.35,2,2,934,0.95
GJ,7.6,2055.2,1.4,1.2,#DIV/0!,#DIV/0!,2501,0.2
GJ,7.5,415.1666667,1,0.35,2,2,345,0.25
GJ,8.4,871.8,1.55,0.4,2,2,758,0.6
GJ,7.9,1900.966667,2.25,0.6,2,2,1735,0.6
GJ,8,1224,1,0.38,2,2,1012,1
GJ,7.7,663.5666667,1,0.34,2,2,553,0.35
GJ,8.3,3435.433333,2.4,0.74,2,2,3345,0.9
GJ,8,504,1,0.35,2,2,428,0.25
GJ,8.2,1182.733333,1,0.305,2,2,855,0.6
GJ,8.5,1018.166667,1,0.3,2,2,770,0.75
GJ,8.5,1805.5,1,0.4,2,2,1648,0.4
GJ,7.3,4500.433333,1,0.3,2,2,4276,0.4
GJ,8.5,916.1666667,1,0.3,2,2,868,0.95
GJ,7.8,9302.6,1.95,0.45,2,2,8495,0.4
GJ,8.1,1113.7,1.5,0.5,2,2,1014,0.2
GJ,8.1,635.0333333,1,0.62,2,2,560,0.9
GJ,8,778,1,0.69,2,2,661,0.75
HR,7.4,1715.8,3.4,2.95,3200,4215,1412,2.1
